;index;Tipo;Bairro;Quartos;Vagas;Suites;Area;Valor;Condominio;IPTU
17621;25174;Apartamento;Centro;1;1;0;45;2000.0;600.0;150.0
17622;25175;Apartamento;Centro;1;0;0;20;800.0;430.0;38.0
17623;25177;Apartamento;Barra da Tijuca;4;2;4;220;7450.0;2000.0;1000.0
17624;25178;Apartamento;Recreio dos Bandeirantes;2;1;1;80;1500.0;600.0;
17625;25179;Apartamento;Barra da Tijuca;4;2;1;135;5300.0;1154.0;874.0
17626;25181;Casa de Condomínio;Barra da Tijuca;5;7;5;750;20000.0;2500.0;10000.0
17627;25183;Apartamento;Catete;2;0;0;62;1950.0;480.0;
17628;25184;Quitinete;Centro;1;0;0;28;950.0;350.0;
17629;25185;Casa;São Conrado;4;3;3;900;30000.0;2000.0;5070.0
17630;25186;Casa de Vila;Copacabana;2;1;1;80;3000.0;50.0;
17631;25187;Apartamento;Pechincha;2;1;0;53;1100.0;600.0;135.0
17632;25188;Apartamento;Barra da Tijuca;1;1;1;70;1500.0;1600.0;220.0
17633;25189;Apartamento;Leblon;4;2;1;170;7500.0;2300.0;460.0
17634;25190;Apartamento;Freguesia (Jacarepaguá);2;0;0;50;600.0;300.0;
17635;25192;Casa de Vila;Andaraí;1;0;0;64;1200.0;80.0;
17636;25193;Apartamento;Laranjeiras;3;1;0;96;3200.0;674.0;182.0
17637;25194;Apartamento;Praça Seca;2;0;0;43;700.0;190.0;13.0
17638;25200;Casa de Condomínio;Barra da Tijuca;5;6;3;300;10000.0;;
17639;25201;Apartamento;Leblon;4;2;4;200;10500.0;2710.0;1153.0
17640;25205;Apartamento;Vila da Penha;2;1;0;80;1500.0;300.0;
17641;25207;Apartamento;Anil;2;1;0;68;1300.0;487.0;150.0
17642;25208;Apartamento;Leme;2;0;0;70;3300.0;647.0;81.0
17643;25209;Apartamento;Santa Teresa;1;0;0;25;750.0;400.0;
17644;25210;Apartamento;Copacabana;2;0;0;80;2900.0;760.0;180.0
17645;25211;Apartamento;Água Santa;2;1;0;58;700.0;500.0;35.0
17646;25212;Apartamento;Ipanema;10;2;0;250;25000.0;2500.0;
17647;25216;Casa de Vila;Botafogo;2;0;0;68;3500.0;;
17648;25217;Apartamento;Leblon;4;2;2;380;31000.0;3200.0;
17649;25218;Apartamento;Leblon;1;0;0;35;2200.0;370.0;72.0
17650;25219;Apartamento;Cosme Velho;4;3;2;200;6000.0;1610.0;435.0
17651;25220;Apartamento;Barra da Tijuca;4;2;1;154;6000.0;1210.0;350.0
17652;25222;Apartamento;Barra da Tijuca;3;2;1;110;3800.0;1350.0;316.0
17653;25223;Apartamento;Méier;3;0;0;105;1100.0;200.0;
17654;25224;Apartamento;Jardim Botânico;2;0;1;70;3200.0;850.0;88.0
17655;25225;Apartamento;Recreio dos Bandeirantes;3;2;1;213;1900.0;1184.0;442.0
17656;25226;Apartamento;Jacarepaguá;1;1;0;56;600.0;692.0;
17657;25227;Apartamento;Vila Isabel;2;1;0;65;1500.0;714.0;85.0
17658;25228;Casa;Jardim Guanabara;3;4;1;200;3800.0;;400.0
17659;25229;Apartamento;Tijuca;1;0;0;40;1500.0;430.0;20.0
17660;25230;Apartamento;Engenho Novo;2;0;0;60;1300.0;460.0;
17661;25231;Apartamento;Recreio dos Bandeirantes;2;4;0;120;2400.0;760.0;233.0
17662;25232;Apartamento;Tijuca;2;0;0;80;1400.0;850.0;
17663;25233;Apartamento;Humaitá;3;2;1;115;3800.0;1670.0;346.0
17664;25235;Apartamento;Jardim Botânico;3;1;0;95;2900.0;1102.0;
17665;25237;Apartamento;Barra da Tijuca;2;1;0;53;1300.0;622.0;92.0
17666;25238;Apartamento;Catumbi;2;0;0;46;1300.0;300.0;
17667;25239;Apartamento;Freguesia (Jacarepaguá);1;1;1;72;2000.0;600.0;
17668;25240;Apartamento;São Conrado;5;3;5;600;15000.0;15300.0;4220.0
17669;25241;Apartamento;Recreio dos Bandeirantes;3;2;1;161;2500.0;780.0;
17670;25242;Apartamento;Tijuca;3;0;0;91;2100.0;715.0;79.0
17671;25243;Apartamento;Copacabana;2;0;0;50;3000.0;;
17672;25244;Apartamento;Barra da Tijuca;3;3;3;680;20000.0;1980.0;1700.0
17673;25245;Apartamento;Pechincha;2;1;0;60;1100.0;606.0;14.0
17674;25247;Apartamento;Humaitá;2;0;0;65;2600.0;660.0;124.0
17675;25249;Apartamento;Recreio dos Bandeirantes;2;2;2;115;3500.0;840.0;260.0
17676;25250;Quitinete;Lapa;0;0;0;28;900.0;400.0;20.0
17677;25254;Apartamento;Copacabana;3;1;1;180;7500.0;1900.0;300.0
17678;25255;Apartamento;Irajá;2;1;0;80;1700.0;;100.0
17679;25256;Quitinete;Glória;1;0;0;50;800.0;495.0;
17680;25258;Apartamento;Ipanema;2;1;2;120;7500.0;2350.0;
17681;25259;Apartamento;Ipanema;3;0;1;150;5800.0;2200.0;230.0
17682;25260;Apartamento;Copacabana;2;0;0;35;2500.0;;
17683;25261;Apartamento;Barra da Tijuca;2;1;2;80;3000.0;1400.0;
